,source,target,value
0,France,Russia,12
1,Germany,Russia,32
2,Germany,Italy,27
3,Austria,Germany,11
4,France,Poland,11
5,France,Germany,31
6,Germany,Poland,28
7,Germany,Lithuania,5
8,Finland,Lithuania,12
9,Finland,Germany,5
10,Norway,Poland,3
11,Germany,Norway,5
12,France,Italy,4
13,Germany,Japan,24
14,Japan,Russia,16
15,Japan,Philippines,11
16,India,Japan,11
17,France,India,6
18,India,Pakistan,18
19,Israel,Pakistan,6
20,Israel,Libya,5
21,Iran,Libya,6
22,Germany,Iran,3
23,France,Japan,4
24,Pakistan,Philippines,6
25,Finland,Romania,6
26,Poland,Romania,11
27,Finland,Russia,6
28,Greece,Italy,4
29,Italy,Japan,6
30,Romania,Russia,6
